[:m 3.244765307086924],[:s 0.09689575925402887]
[:m -0.6302489760164494],[:s 0.07712629329238162]
[:m 5.976644468866713],[:s 0.10092019093976337]
[:m 1.6114356808585115],[:s 0.12194770856974967]
[:m 2.7477486177100143],[:s 0.1829976726865956]
[:m 5.976644468866713],[:s 0.23052128668886834]
[:m 4.850320076559431],[:s 0.18187035231387036]
[:m 2.0478444735760735],[:s 0.10066835342967431]
[:m 5.976644468866713],[:s 0.17442329269054638]
[:m 3.888607294211009],[:s 0.20662296858108994]
[:m 5.976644468866713],[:s 0.23052128668886834]
[:m 0.6768958589659679],[:s 0.10749417751082957]
[:m 3.361380750654135],[:s 0.12787305707199678]
[:m 3.929396322954476],[:s 0.23052128668886834]
[:m 2.5010312748167833],[:s 0.17817353147711523]
[:m 2.490401764939945],[:s 0.13906870019490167]
[:m 1.4225276862212588],[:s 0.23052128668886834]
[:m 2.2101467154914314],[:s 0.08645026283261759]
[:m 5.976644468866713],[:s 0.23052128668886834]
[:m 2.819169450759234],[:s 0.16764762792117263]
[:m 4.16119890376465],[:s 0.146569477765684]
[:m 0.8192131559135589],[:s 0.23052128668886834]
[:m 5.976644468866713],[:s 0.15257695706496935]
[:m 3.223466518086158],[:s 1.306877177464224]
[:m 1.6410438770059104],[:s 0.1316812534657026]
[:m 3.2884663896220387],[:s 1.306877177464224]
[:m 2.921452158072757],[:s 0.1997440254698292]
[:m 5.976644468866713],[:s 0.1330739046732036]
[:m 1.9347045337007178],[:s 0.23052128668886834]
[:m 2.539317266810905],[:s 0.10710737214673174]
[:m 2.505094945096139],[:s 0.23052128668886834]
[:m 1.1059262312643208],[:s 0.10838663890260374]
[:m 3.436804963476159],[:s 0.10353425227660645]
[:m 1.2652457036018596],[:s 0.1936454029786246]
[:m 3.1931666968691905],[:s 0.25788572917691255]
[:m 3.45529012701029],[:s 0.1374059316770913]
[:m 2.819478173663676],[:s 0.11541036346111581]
[:m 2.0086363899787902],[:s 0.07713132500834181]
[:m 2.3611732527594675],[:s 0.23052128668886834]
[:m 2.4349256204637615],[:s 0.2008965081337781]
[:m 0.47223146613577094],[:s 0.2040228623653545]
[:m 3.6149233154499276],[:s 0.1671575263918158]
[:m 2.255401231084679],[:s 0.12143266969104961]
[:m 2.931992908423301],[:s 0.1326492260953874]
[:m 3.1011904487678876],[:s 0.9357135172992188]
[:m 2.7477486177100143],[:s 0.23052128668886834]
[:m 5.976644468866713],[:s 0.23052128668886834]
[:m 1.8820804179245114],[:s 0.11067460543406443]
[:m 3.080659681627993],[:s 0.12178949346347037]
[:m 2.3470052381708397],[:s 0.13202631192394845]
